orig_symbol	logFC	logCPM	F	PValue	FDR
Gm26510	-14.309975524680151	9.40079406020508	25214.997690227454	0	0
Haus5	-14.30988709445377	9.399376975683012	25140.10081508797	0	0
Gm15816	-14.309856376886614	9.398654403437968	25100.776665992944	0	0
Kremen2	-14.309637886714334	9.400150130188221	25180.083795750696	0	0
1700030L22Rik	-14.309557732408997	9.399675573174003	25154.780275435354	0	0
Gpr62	-14.309487103163702	9.399984640960398	25170.622316813296	0	0
Gm13381	-14.309445022025187	9.400524621293629	25200.163933834607	0	0
Gm34590	-14.309373118402387	9.39762937351872	25045.219578923196	0	0
Gm34885	-14.309351822696788	9.401866073066925	25269.592368633876	0	0
Chst5	-14.309349990864824	9.40060002232743	25199.430839968973	0	0
Crybg1	-14.309347740417342	9.400149576974018	25182.181839107434	0	0
4930404I05Rik	-14.309164324686977	9.399257266332327	25133.739673069656	0	0
Ppl	-14.308523237915553	9.399489311972172	25144.45041023465	0	0
Pcdh20	-14.308425725892945	9.399745690404858	25157.22391222584	0	0
Zfp977	-14.308421256762323	9.399076956043336	25123.066361711866	0	0
Pax3	-14.308249155783852	9.401366524276987	25233.93913376984	0	0
Gm48606	-14.308172908406899	9.40013775228183	25171.862868870772	0	0
Gm34471	-14.308007677199106	9.400467130026682	25196.771573321595	0	0
Naip5	-14.307970658827541	9.40075653716218	25206.467563134807	0	0
Jmjd7	-14.307841098015404	9.399256756320321	25129.69798195834	0	0
Vmn2r1	-14.307788162725922	9.39866455426145	25096.428649160254	0	0
Bmp4	-14.307728549252586	9.40155755038058	25248.91513353501	0	0
Rpl9-ps6	-14.307703964378083	9.399713282145976	25153.553570935943	0	0
Gm48535	-14.307645779764561	9.39786673785846	25056.19452011097	0	0
5430416N02Rik	-14.307622788945102	9.400566440522065	25198.656935164152	0	0
A2ml1	-14.307554011683957	9.39824292891368	25073.35811490749	0	0
Gm32031	-14.307433333130467	9.399630926842162	25147.901432982762	0	0
Mex3b	-14.307426299576967	9.398543831512638	25090.285325797813	0	0
Atg9b	-14.30739181676112	9.400145806934153	25176.7073004323	0	0
Wdr66	-14.307385416039764	9.399056609016869	25117.883722714818	0	0
Gm20515	-14.307349905722088	9.400438998748992	25184.630920268213	0	0
Egflam	-14.30734834289099	9.398973349459114	25114.429427937353	0	0
Tonsl	-14.307288867524235	9.399641846542544	25148.615726802214	0	0
Cptp	-14.307217303050273	9.398822764486548	25105.142928036425	0	0
Kiss1r	-14.307210205496427	9.398540442065181	25089.34212138955	0	0
Xkr8	-14.307178595637646	9.398873897325183	25108.187044040755	0	0
Rcor2	-14.307036082283748	9.399929862906005	25164.43995207542	0	0
Smoc2	-14.306984659340635	9.400334539358099	25183.843463254183	0	0
Gm35934	-14.306935820712283	9.398579011941976	25090.17934579191	0	0
Gm45311	-14.306853156478798	9.40015277238128	25174.141396961444	0	0
Gm20219	-14.306680049592844	9.397898688440591	25052.77807477903	0	0
Fam210b	-14.306651279996776	9.39960197966787	25146.585677112627	0	0
Jchain	-14.306633394169864	9.399432873057826	25138.72284650015	0	0
Tmem167b	-14.306599762311176	9.399677744915254	25149.017658044173	0	0
Cacna2d4	-14.306599575941368	9.401771630575423	25260.39752073395	0	0
Cep41	-14.306589556972883	9.399910079069715	25162.012609056714	0	0
Gm1968	-14.30650744159564	9.3969175240674	25000.78040226561	0	0
Thop1	-14.30648497181735	9.39957152896758	25142.738482584977	0	0
Nr1h3	-14.306456419465453	9.399397478937516	25133.70126961451	0	0
Armc4	-14.306363958764038	9.397563175646727	25036.486502056858	0	0
Gm29683	-14.306325646578546	9.403060815598943	25324.14590764969	0	0
Gm5796	-14.306316728118292	9.399373055443172	25133.292328638163	0	0
Tmem123	-14.306303684369093	9.398645658910922	25093.171934739745	0	0
Pax6	-14.306102129593064	9.400465667325989	25186.93194151468	0	0
Gm44037	-14.306021207189062	9.399073123717626	25116.285847858784	0	0
Nipal4	-14.305982515684738	9.398017245214415	25057.871796348958	0	0
Net1	-14.305963830395482	9.400225462660229	25175.46995305527	0	0
Zfp87	-14.305926721167898	9.397787000470935	25045.011471143178	0	0
